Text,Tag
Dana,B-NAME
Jones,I-NAME
Address,O
:,O
1493,B-ADDRESS
Quinn,I-ADDRESS
Place,I-ADDRESS
Apt,I-ADDRESS
.,I-ADDRESS
412,I-ADDRESS
Mooreburgh,I-ADDRESS
,,I-ADDRESS
LA,I-ADDRESS
25555,I-ADDRESS
Contact,O
:,O
4302,B-PHONE
-,I-PHONE
8120,I-PHONE
Email,O
:,O
robert62@white.biz,B-EMAIL
Date,O
of,O
birth,O
:,O
21,B-DOB
April,I-DOB
1978,I-DOB
Availability,O
:,O
Within,O
3,O
months,O
Academic,O
Qualifications,O
:,O
Qualified,O
Chartered,O
Accountant,O
(,O
Singapore,O
),O
with,O
the,O
Institute,B-EDUCATION
of,I-EDUCATION
Singapore,I-EDUCATION
Chartered,I-EDUCATION
Accountants,I-EDUCATION
of,I-EDUCATION
Singapore,I-EDUCATION
(,O
formerly,O
known,O
as,O
Institute,O
of,O
Certified,O
Public,O
Accountants,O
of,O
Singapore,O
),O
Nanyang,B-EDUCATION
Technological,I-EDUCATION
University,I-EDUCATION
,,O
Degree,O
in,O
Bachelor,O
of,O
Accountancy,O
July,O
2000,O
–,O
July,O
2003,O
Anderson,B-EDUCATION
Junior,I-EDUCATION
College,I-EDUCATION
,,O
GCE,O
‘,O
A,O
’,O
Levels,O
Jan,O
1998,O
–,O
Nov,O
1999,O
Convent,B-EDUCATION
of,I-EDUCATION
the,I-EDUCATION
Holy,I-EDUCATION
Infant,I-EDUCATION
Jesus,I-EDUCATION
(,O
C.H.I.J.,O
-,O
Toa,O
Payoh,O
),O
,,O
GCE,O
‘,O
O,O
’,O
Levels,O
Jan,O
1994,O
–,O
Nov,O
1997,O
Working,O
Experience,O
:,O
Company,O
:,O
Aberdeen,O
Asset,O
Management,O
Asia,O
Limited,O
Overview,O
:,O
Global,O
investment,O
management,O
group,O
headquartered,O
and,O
listed,O
in,O
the,O
UK,O
with,O
global,O
FUM,O
of,O
over,O
GBP,O
300,O
billion,O
.,O
Position,O
:,O
Finance,O
Manager,O
,,O
Financial,O
Reporting,O
Reporting,O
to,O
:,O
Head,O
of,O
Financial,O
Reporting,O
Duration,O
:,O
June,O
2015,O
–,O
Current,O
Responsibilities,O
:,O
Assisting,O
the,O
Head,O
of,O
Finance,O
in,O
planning,O
and,O
managing,O
the,O
monthly,O
/,O
interim,O
financial,O
reporting,O
processes,O
which,O
includes,O
:,O
Co,O
-,O
ordinate,O
and,O
oversee,O
the,O
monthly,O
reporting,O
of,O
all,O
Asia,O
Pacific,O
entities,O
to,O
ensure,O
accuracy,O
and,O
timeliness,O
of,O
reporting,O
to,O
Aberdeen,O
parent,O
company,O
.,O
Ensuring,O
compliance,O
with,O
internal,O
and,O
regulatory,O
policies,O
,,O
procedures,O
and,O
internal,O
controls,O
.,O
Provide,O
technical,O
expertise,O
and,O
advise,O
on,O
adhoc,O
basis,O
for,O
more,O
complex,O
accounting,O
issues,O
within,O
Asia,O
Pacific,O
.,O
Assist,O
in,O
the,O
supervision,O
of,O
3,O
finance,O
staff,O
(,O
Local,O
team,O
of,O
10,O
staff,O
with,O
3,O
direct,O
reports,O
),O
.,O
Leading,O
a,O
team,O
of,O
3,O
individuals,O
,,O
my,O
key,O
responsibilities,O
are,O
:,O
Meet,O
all,O
regulatory,O
and,O
Group,O
’s,O
reporting,O
requirements,O
and,O
ensure,O
timeliness,O
and,O
accuracy,O
of,O
monthly,O
/,O
interim,O
accounts,O
close,O
Singapore,O
,,O
China,O
and,O
South,O
Korea,O
entities,O
,,O
which,O
includes,O
:,O
Financial,O
reporting,O
to,O
Monetary,O
Authority,O
of,O
