Text,Tag
Resume,O
Name,O
:,O
Evelyn,B-NAME
Morris,I-NAME
Nationality,O
:,O
Colombian,B-NATIONALITY
Date,O
of,O
birth,O
:,O
13,B-DOB
Jan,I-DOB
1991,I-DOB
Age,O
:,O
29,B-AGE
Gender,O
:,O
Female,B-GENDER
Marital,O
Status,O
:,O
Married,O
Address,O
:,O
USNV,B-ADDRESS
Jordan,I-ADDRESS
,,I-ADDRESS
FPO,I-ADDRESS
AA,I-ADDRESS
27166,I-ADDRESS
Contact,O
No,O
.,O
:,O
902386087,B-PHONE
Email,O
Address,O
:,O
hensleyheather@hotmail.com,B-EMAIL
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
_,O
Skills,O
Adequate,O
knowledge,O
for,O
computer,O
skills,O
Organized,O
,,O
Self,O
-,O
Starter,O
and,O
detail,O
oriented,O
Computer,O
Literacy,O
MS,O
Word,O
MS,O
Excel,O
(,O
VLookup,O
,,O
Pivot,O
Table,O
,,O
Marcos,O
,,O
Hyperlink,O
and,O
etc,O
),O
MS,O
Point,O
Accounting,O
Software,O
UBS,O
Accounting,O
Software,O
Athena,O
Peachtree,O
Oracle,O
Hyperior,O
Quickbook,O
Premier,O
SAGE,O
50,O
Deskera,O
MYOB,O
Education,O
2001,O
-2005,O
-,O
S.M.K.T.T.A,O
(,O
SPM,O
),O
2007,O
-,O
2009,O
–,O
ACCA,B-EDUCATION
-,O
Certified,O
Accounting,O
Technician,O
(,O
CAT,O
),O
Present,O
–,O
University,B-EDUCATION
of,I-EDUCATION
Bedfordshire,I-EDUCATION
-,O
Bachelor,O
of,O
Arts,O
(,O
Honours,O
),O
Accounting,O
(,O
Expected,O
complete,O
by,O
Jun,O
2017,O
),O
Current,O
Salary,O
:,O
S$3,570,O
Expected,O
Salary,O
:,O
S$4,000,O
Reason,O
Leaving,O
:,O
Looking,O
for,O
job,O
advancement,O
and,O
better,O
working,O
experience,O
.,O
Working,O
Experience,O
Tembusu,O
Partners,O
Pte,O
Ltd,O
(,O
Investment,O
Company,O
),O
June,O
2016,O
to,O
present,O
Finance,O
Executive,O
GL,O
Handle,O
7,O
Entities,O
full,O
set,O
