Text,Tag
Kevin,B-NAME
Payne,I-NAME
087,B-ADDRESS
Decker,I-ADDRESS
Crest,I-ADDRESS
Suite,I-ADDRESS
954,I-ADDRESS
,,I-ADDRESS
Colleenmouth,I-ADDRESS
,,I-ADDRESS
NH,I-ADDRESS
46714,I-ADDRESS
+339,B-PHONE
-,I-PHONE
9308,I-PHONE
-,I-PHONE
5637,I-PHONE
,,O
amanda02@hotmail.com,B-EMAIL
Career,O
Summary,O
Establishing,O
internal,O
financial,O
processes,O
of,O
both,O
project,O
and,O
corporate,O
in,O
a,O
start,O
up,O
private,O
equity,O
Managing,O
budget,O
,,O
financial,O
reports,O
and,O
tax,O
filings,O
directly,O
reporting,O
to,O
CEO,O
Relationship,O
management,O
and,O
product,O
consulting,O
in,O
the,O
world,O
large,O
financial,O
data,O
provider,O
Audit,O
experiences,O
in,O
the,O
Big,O
4,O
under,O
J,O
-,O
GAAP,O
and,O
US,O
-,O
GAAP,O
and,O
internal,O
control,O
audit,O
under,O
J,O
-,O
SOX,O
Work,O
Experience,O
Brawn,O
Capital,O
Limited,O
,,O
Central,O
,,O
Hong,O
Kong,O
August,O
2016,O
–,O
Present,O
Finance,O
Manager,O
Manage,O
financials,O
of,O
project,O
finance,O
working,O
closely,O
with,O
developer,O
and,O
asset,O
management,O
company,O
in,O
Japan,O
Establish,O
and,O
improve,O
internal,O
financial,O
processes,O
of,O
both,O
project,O
and,O
corporate,O
Manage,O
budget,O
,,O
financial,O
reports,O
and,O
tax,O
flings,O
both,O
in,O
Hong,O
Kong,O
and,O
Japan,O
S&P,O
Global,O
,,O
S&P,O
Global,O
Market,O
Intelligence,O
,,O
Kowloon,O
,,O
Hong,O
Kong,O
March,O
2015,O
–,O
July,O
2016,O
Account,O
Manager,O
&,O
Product,O
Consultant,O
Manage,O
client,O
relationship,O
working,O
closely,O
with,O
sales,O
Deliver,O
solutions,O
with,O
strong,O
financial,O
and,O
product,O
knowledge,O
Support,O
clients,O
’,O
fundamental,O
analysis,O
with,O
modeling,O
KPMG,O
AZSA,O
LLC,O
,,O
Tokyo,O
,,O
Japan,O
February,O
2012,O
–,O
February,O
2015,O
Audit,O
Practice,O
Perform,O
annual,O
financial,O
audits,O
,,O
quarterly,O
reviews,O
under,O
J,O
-,O
GAAP,O
and,O
internal,O
control,O
audit,O
under,O
J,O
-,O
SOX,O
for,O
audit,O
engagements,O
of,O
various,O
clients,O
including,O
one,O
of,O
the,O
biggest,O
Japanese,O
public,O
companies,O
listed,O
in,O
Tokyo,O
Stock,O
Exchange,O
Perform,O
reporting,O
package,O
reviews,O
under,O
IFRS,O
and,O
US,O
-,O
GAAP,O
for,O
various,O
clients,O
who,O
have,O
overseas,O
parent,O
companies,O
Consult,O
on,O
management,O
accounting,O
issues,O
and,O
deliver,O
solutions,O
.,O
Identify,O
and,O
communicate,O
accounting,O
and,O
auditing,O
matters,O
to,O
managers,O
and,O
partners,O
Education,O
Meiji,B-EDUCATION
University,I-EDUCATION
–,O
Bachelor,O
of,O
Business,O
Administration,O
April,O
2007,O
–,O
March,O
2011,O
Department,O
of,O
Accounting,O
Skills,O
Qualification,O
:,O
Certified,O
Public,O
Accountant,O
Application,O
:,O
Excel,O
,,O
Word,O
,,O
Power,O
Point,O
,,O
Xero,O
,,O
Expensify,O
Language,O
:,O
English,O
,,O
Japanese,O
Others,O
:,O
Financial,O
analysis,O
,,O
Interpersonal,O
communication,O
,,O
Process,O
coordinating,O
,,O
Cash,O
Management,O
,,O
Budgeting,O
,,O
Journal,O
Entries,O
Personal,O
Hobby,O
:,O
Running,O
,,O
Flower,O
Arrangement,O
,,O
Cooking,O
,,O
Yoga,O
