Text,Tag
James,B-NAME
M.,I-NAME
Fridle,I-NAME
3718,B-ADDRESS
Marshville,I-ADDRESS
Road,I-ADDRESS
West,I-ADDRESS
NY,I-ADDRESS
10994,I-ADDRESS
DOB,O
:,O
14,B-DOB
February,I-DOB
1983,I-DOB
NRIC,O
:,O
S890910111,O
Handphone,O
No,O
.,O
:,O
+1,B-PHONE
645,I-PHONE
9863,I-PHONE
Email,O
:,O
j.fridle.m4@gmail.com,B-EMAIL
EDUCATION,O
Institution,O
:,O
St,B-EDUCATION
Andrew,I-EDUCATION
’s,I-EDUCATION
Junior,I-EDUCATION
College,I-EDUCATION
Full,O
A,O
Levels,O
Art,O
Major,O
Certificate,O
,,O
December,O
2008,O
EXPERIENCE,O
Singapore,O
Armed,O
Forces,O
:,O
Keat,O
Hong,O
Camp,O
,,O
18th,O
January,O
2010,O
-,O
6th,O
November,O
2010,O
Administrative,O
Specialist,O
&,O
HQ,O
Platoon,O
Sergeant,O
:,O
Gunnery,O
Training,O
Wing,O
Instructor,O
:,O
Assisted,O
in,O
the,O
running,O
of,O
the,O
company,O
,,O
which,O
includes,O
but,O
not,O
limited,O
to,O
ensuring,O
that,O
training,O
support,O
is,O
always,O
in,O
place,O
,,O
resolving,O
pay,O
issues,O
and,O
maintaining,O
the,O
company,O
’s,O
databases,O
,,O
troubleshooting,O
human,O
resource,O
and,O
logistical,O
problems,O
that,O
arises,O
from,O
day,O
to,O
day,O
operations,O
.,O
Maintained,O
discipline,O
throughout,O
the,O
company,O
by,O
suggesting,O
and,O
implementing,O
disciplinary,O
policies,O
.,O
Am,O
a,O
direct,O
personal,O
assistant,O
to,O
the,O
Officer,O
Commanding,O
and,O
Company,O
Sergeant,O
Major,O
and,O
have,O
assisted,O
them,O
in,O
their,O
duties,O
to,O
the,O
company,O
including,O
planning,O
for,O
company,O
outfield,O
exercise,O
.,O
Have,O
also,O
recorded,O
various,O
minutes,O
of,O
meeting,O
on,O
a,O
company,O
and,O
battalion,O
level,O
.,O
On,O
behalf,O
of,O
my,O
superiors,O
,,O
I,O
have,O
also,O
planned,O
and,O
organised,O
various,O
events,O
and,O
am,O
experienced,O
in,O
tendering,O
and,O
acquisition,O
for,O
events,O
through,O
the,O
Geebiz,O
software,O
and,O
liaising,O
with,O
the,O
finance,O
department,O
.,O
Provided,O
administrative,O
and,O
general,O
office,O
support,O
which,O
includes,O
answering,O
of,O
telephones,O
,,O
photocopying,O
,,O
laminating,O
,,O
binding,O
,,O
organizing,O
papers,O
,,O
files,O
and,O
distributing,O
mail,O
.,O
Delegated,O
tasking,O
and,O
coached,O
my,O
team,O
to,O
handle,O
and,O
assist,O
in,O
different,O
office,O
and,O
administrative,O
functions,O
.,O
Sungei,O
Gedong,O
Camp,O
,,O
20th,O
October,O
2009,O
–,O
17th,O
January,O
2010,O
Trained,O
trainee,O
leaders,O
in,O
the,O
handling,O
of,O
the,O
different,O
weapons,O
that,O
is,O
used,O
on,O
the,O
various,O
armour,O
platforms,O
.,O
Have,O
also,O
supervised,O
the,O
live,O
firing,O
of,O
these,O
weapons,O
to,O
ensure,O
maximum,O
safety,O
standards,O
.,O
Harry,O
Elias,O
Partnership,O
LLP,O
(,O
HEPCorporate,O
Services,O
Pte,O
.,O
Ltd.,O
),O
:,O
15,O
November,O
2010,O
–,O
30,O
June,O
2013,O
Corporate,O
Secretarial,O
Assistant,O
Handled,O
a,O
portfolio,O
of,O
34,O
Singapore,O
Private,O
Limited,O
