Text,Tag
Jamie,B-NAME
Bell,I-NAME
8450,B-ADDRESS
Ramos,I-ADDRESS
Dale,I-ADDRESS
Apt,I-ADDRESS
.,I-ADDRESS
847,I-ADDRESS
,,I-ADDRESS
New,I-ADDRESS
Laurentown,I-ADDRESS
,,I-ADDRESS
LA,I-ADDRESS
03701,I-ADDRESS
,,O
(,B-PHONE
+44)02446659,I-PHONE
,,O
ujones@gmail.com,B-EMAIL
Education,O
and,O
Qualification,O
Chartered,O
Accountant,O
(,O
Singapore,O
),O
(,O
Feb,O
2015-now,O
),O
Associate,O
Member,O
(,O
CPA,B-EDUCATION
Australia,I-EDUCATION
),O
(,O
Sep,O
2016-now,O
),O
Bachelor,O
of,O
Accountancy,O
with,O
Second,O
Class,O
Honours,O
(,O
Lower,O
Divison,O
),O
(,O
2008-May,O
2011,O
),O
Nanyang,B-EDUCATION
Business,I-EDUCATION
School,I-EDUCATION
,,I-EDUCATION
Nanyang,I-EDUCATION
Technological,I-EDUCATION
University,I-EDUCATION
(,I-EDUCATION
NTU,I-EDUCATION
),I-EDUCATION
,,O
Singapore,O
GPA,O
3.9/5,O
Diploma,O
in,O
Accountancy,O
with,O
Merit,O
(,O
2003,O
-,O
2006,O
),O
School,O
of,O
Business,O
and,O
Accountancy,O
,,O
Ngee,B-EDUCATION
Ann,I-EDUCATION
Polytechnic,I-EDUCATION
,,O
Singapore,O
GPA,O
3.83/4,O
Work,O
Experience,O
Capitaland,O
(,O
Apr,O
2016-now,O
),O
Executive,O
Finance,O
•,O
Maintaining,O
full,O
set,O
of,O
accounting,O
records,O
of,O
properties,O
within,O
a,O
portfolio,O
.,O
•,O
Prepare,O
quarterly,O
Singapore,O
Stock,O
Exchange,O
reporting,O
,,O
Board,O
Papers,O
and,O
Statutory,O
Financial,O
Statements,O
reporting,O
.,O
•,O
Review,O
budgets,O
and,O
forecasts,O
,,O
including,O
collaborating,O
with,O
investment,O
and,O
property,O
managers,O
.,O
•,O
Review,O
cash,O
-,O
flow,O
forecast,O
and,O
working,O
with,O
treasury,O
to,O
manage,O
cash,O
-,O
flow,O
.,O
•,O
Standardization,O
and,O
improvement,O
of,O
finance,O
processes,O
and,O
procedures,O
,,O
and,O
updating,O
finance,O
team,O
on,O
accounting,O
developments,O
and,O
regulatory,O
updates,O
.,O
•,O
Collating,O
and,O
analysis,O
of,O
Singapore,O
-,O
listed,O
REIT,O
financials,O
.,O
•,O
Assists,O
in,O
preparation,O
of,O
materials,O
for,O
Head,O
of,O
Finance,O
to,O
answer,O
queries,O
in,O
AGM,O
and,O
road,O
shows,O
.,O
Managing,O
finance,O
related,O
questions,O
from,O
investment,O
and,O
property,O
managers,O
and,O
to,O
provide,O
appropriate,O
reconciliations,O
and,O
reports,O
as,O
required,O
.,O
•,O
Manage,O
an,O
accounting,O
team,O
of,O
four,O
,,O
and,O
meeting,O
various,O
internal,O
and,O
external,O
audit,O
requirements,O
(,O
i.e.,O
tax,O
,,O
accounting,O
and,O
internal,O
controls,O
),O
.,O
KPMG,O
(,O
Aug,O
2011-Sep,O
2015,O
),O
Senior,O
Associate,O
Audit,O
and,O
Assurance,O
Senior,O
in,O
charge,O
of,O
BHG,O
Retail,O
REIT,O
intial,O
public,O
offering,O
(,O
IPO,O
),O
.,O
Reviewed,O
banker,O
’s,O
financial,O
models,O
.,O
Advised,O
bankers,O
on,O
the,O
level,O
of,O
debt,O
and,O
equity,O
,,O
certain,O
corporate,O
structures,O
,,O
financing,O
structures,O
and,O
avenues,O
to,O
repatriate,O
returns,O
.,O
Prepared,O
proforma,O
financial,O
statements,O
based,O
on,O
different,O
scenerios,O
and,O
assumptions,O
.,O
