Text,Tag
Donny,B-NAME
Estrada,I-NAME
Nigerian,B-NATIONALITY
National,O
-,O
Singapore,O
PR,O
Mobile,O
:,O
+77,B-PHONE
0561,I-PHONE
3744,I-PHONE
–,O
Email,O
:,O
clarkbrittany@gmail.com,B-EMAIL
Executive,O
Summary,O
Financial,O
industry,O
professional,O
with,O
19,O
years,O
of,O
sales,O
,,O
financial,O
,,O
legal,O
and,O
operational,O
expertise,O
acquired,O
through,O
hands,O
-,O
on,O
,,O
buy-,O
and,O
sell,O
-,O
side,O
experience,O
in,O
Asia,O
.,O
Results,O
-,O
driven,O
CFO,O
and,O
Operations,O
Manager,O
with,O
a,O
focus,O
on,O
strategic,O
planning,O
,,O
building,O
synergies,O
and,O
setting,O
up,O
procedures,O
.,O
Strong,O
ability,O
to,O
communicate,O
effectively,O
with,O
all,O
stakeholders,O
.,O
Able,O
to,O
quickly,O
grasp,O
complex,O
processes,O
with,O
a,O
serious,O
passion,O
for,O
creating,O
leapfrog,O
productivity,O
enhancements,O
.,O
Core,O
Competencies,O
Operational,O
value,O
creation,O
Cost,O
cutting,O
Company,O
valuations,O
Process,O
optimisation,O
Strategic,O
planning,O
Corporate,O
financial,O
advisory,O
Professional,O
Experience,O
Since,O
May,O
2013,O
Deliciae,O
Hospitality,O
Management,O
Corporate,O
Financial,O
Adviser,O
for,O
DHM,O
,,O
a,O
fast,O
-,O
growing,O
F&B,O
management,O
group,O
with,O
over,O
S$15mn,O
in,O
annual,O
turnover,O
,,O
10,O
outlets,O
and,O
150,O
employees,O
.,O
Ran,O
a,O
team,O
of,O
20,O
people,O
and,O
an,O
annual,O
budget,O
of,O
S$3mn,O
,,O
orchestrating,O
the,O
transformation,O
of,O
the,O
group,O
from,O
loss,O
-,O
making,O
to,O
breaking,O
even,O
.,O
Group,O
Chief,O
Financial,O
Officer,O
–,O
CFO,O
(,O
Since,O
August,O
2013,O
),O
Produced,O
company,O
valuation,O
using,O
discounted,O
cash,O
flow,O
and,O
comparables,O
method,O
.,O
Developed,O
pitch,O
book,O
and,O
Information,O
Memorandum,O
from,O
scratch,O
and,O
ran,O
investor,O
meetings,O
with,O
strategic,O
corporate,O
investors,O
and,O
private,O
equity,O
firms,O
(,O
on,O
-,O
going,O
),O
.,O
Raised,O
S$1.5mn,O
in,O
short,O
-,O
term,O
debt,O
from,O
private,O
investors,O
and,O
financial,O
institutions,O
to,O
navigate,O
cyclical,O
cash,O
flow,O
constraints,O
of,O
the,O
company,O
.,O
Reduced,O
head,O
count,O
of,O
the,O
finance,O
department,O
by,O
50,O
%,O
through,O
the,O
acquisition,O
and,O
implementation,O
of,O
a,O
state,O
-,O
of,O
-,O
the,O
-,O
art,O
Enterprise,O
Resource,O
Planning,O
software,O
(,O
FACT,O
ERP,O
),O
and,O
by,O
streamlining,O
accounting,O
procedures,O
.,O
Orchestrated,O
the,O
preparation,O
and,O
submission,O
of,O
4,O
overdue,O
audited,O
financial,O
reports,O
within,O
18,O
months,O
by,O
thoroughly,O
reviewing,O
all,O
accounting,O
entries,O
and,O
streamlining,O
all,O
accounting,O
procedures,O
in,O
line,O
with,O
industry,O
best,O
practice,O
.,O
Designed,O
and,O
produced,O
all,O
financial,O
reporting,O
and,O
business,O
intelligence,O
tools,O
for,O
tighter,O
management,O
of,O
the,O
company,O
(,O
daily,O
cash,O
flow,O
and,O
projections,O
,,O
monthly,O
P&L,O
,,O
budgets,O
,,O
monthly,O
Accounts,O
Payable,O
ageing,O
,,O
sales,O
trends,O
,,O
Ebitda,O
margins,O
per,O
outlet,O
),O
.,O
Director,O
of,O
Head,O
Office,O
Operations,O
(,O
Since,O
April,O
2014,O
),O
Drove,O
the,O
company,O
from,O
loss,O
-,O
making,O
to,O
breaking,O
even,O
within,O
18,O
months,O
by,O
investing,O
in,O
productivity,O
-,O
enhancing,O
software,O
solutions,O
,,O
cutting,O
costs,O
across,O
all,O
departments,O
,,O
closing,O
non,O
-,O
core,O
,,O
loss,O
-,O
making,O
outlets,O
and,O
aligning,O
all,O
key,O
-,O
management,O
contracts,O
to,O
the,O
company,O
’s,O
success,O
.,O
Orchestrated,O
the,O
signing,O
and,O
implementation,O
of,O
the,O
company,O
’s,O
participation,O
in,O
the,O
Partnerships,O
for,O
Capability,O
Transformation,O
(,O
PACT,O
),O
with,O
SPRING,O
and,O
Google,O
Singapore,O
for,O
digital,O
marketing,O
,,O
leading,O
to,O
a,O
15,O
%,O
increase,O
in,O
sales,O
.,O
Slashed,O
head,O
office,O
costs,O
by,O
50,O
%,O
within,O
12,O
months,O
through,O
consistent,O
improvements,O
in,O
productivity,O
(,O
acquisition,O
and,O
implementation,O
Oracle,O
Point,O
of,O
