File_id,Word,Tag
105,Name,O
105,:,O
105,Tan,B-NAME
105,Gang,I-NAME
105,Lun,I-NAME
105,Address,O
105,:,O
105,Vila,B-ADDRESS
105,Zenina,I-ADDRESS
105,1775,I-ADDRESS
105,-,I-ADDRESS
105,MA,I-ADDRESS
105,Contact,O
105,Number,O
105,:,O
105,(,B-PHONE
105,98,I-PHONE
105,),I-PHONE
105,6648,I-PHONE
105,-,I-PHONE
105,8353,I-PHONE
105,Email,O
105,Address,O
105,:,O
105,ads23a@hotmail.com,B-EMAIL
105,<,O
105,Hard,O
105,Worker,O
105,Quick,O
105,Learner,O
105,Team,O
105,Player,O
105,>,O
105,Education,O
105,Institute,O
105,of,O
105,Study,O
105,:,O
105,Royal,O
105,Melbourne,O
105,Institute,O
105,of,O
105,Technology,O
105,Certification,O
105,:,O
105,Bachelor,O
105,of,O
105,Business,O
105,(,O
105,Economics,O
105,&,O
105,Finance,O
105,),O
105,CCA,O
105,and,O
105,Achievements,O
105,Academic,O
105,Achievements,O
105,Year,O
105,Attained,O
105,English,O
105,Language,O
105,Test,O
105,(,O
105,Top,O
105,25,O
105,%,O
105,),O
105,2013,O
105,Edusave,O
105,Scholarship,O
105,2007,O
105,Edusave,O
105,Scholarship,O
105,2006,O
105,CCA,O
105,and,O
105,non,O
105,-,O
105,academic,O
105,Achievements,O
105,Peer,O
105,Assisted,O
105,Learning,O
105,Program,O
105,(,O
105,PAL,O
105,Leader,O
105,),O
105,2014,O
105,Infantry,O
105,Leader,O
105,(,O
105,3SG,O
105,),O
105,2010,O
105,CIP,O
105,Gold,O
105,Award,O
105,2009,O
105,National,O
105,Youth,O
105,Achievement,O
105,Award,O
105,2007,O
105,Singapore,O
105,Youth,O
105,Festival,O
105,Bronze,O
105,Award,O
105,(,O
105,Drama,O
105,),O
105,2007,O
105,Singapore,O
105,Youth,O
105,Festival,O
105,Bronze,O
105,Award,O
105,(,O
105,Drama,O
105,),O
105,2005,O
105,Additional,O
105,Skills,O
105,Proficient,O
105,in,O
105,Microsoft,O
105,Word,O
105,Access,O
105,Excel,O
105,and,O
